Altium Designer Pick and Place Locations
C:\Users\Mason\Desktop\Projects\PCB\MixerUI\Project Outputs for MixerUI\Pick Place\Pick Place for MixerUI.txt

========================================================================================================================
File Design Information:

Date:       22/10/24
Time:       23:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment      Layer       Footprint            Center-X(mil) Center-Y(mil) Rotation Description                                                                  
D56        WS2812B-2020 TopLayer    LED_WS2812-2020      2751.653      -370.000      90       "SMD,2x2mm RGB LEDs(Built-in IC) ROHS"                                       
D55        WS2812B-2020 TopLayer    LED_WS2812-2020      2751.653      -606.091      90       "SMD,2x2mm RGB LEDs(Built-in IC) ROHS"                                       
D44        WS2812B-2020 TopLayer    LED_WS2812-2020      1881.653      -370.000      90       "SMD,2x2mm RGB LEDs(Built-in IC) ROHS"                                       
D43        WS2812B-2020 TopLayer    LED_WS2812-2020      1881.653      -606.091      90       "SMD,2x2mm RGB LEDs(Built-in IC) ROHS"                                       
D32        WS2812B-2020 TopLayer    LED_WS2812-2020      1021.654      -370.000      90       "SMD,2x2mm RGB LEDs(Built-in IC) ROHS"                                       
D31        WS2812B-2020 TopLayer    LED_WS2812-2020      1021.654      -606.091      90       "SMD,2x2mm RGB LEDs(Built-in IC) ROHS"                                       
D20        WS2812B-2020 TopLayer    LED_WS2812-2020      165.000       -370.000      90       "SMD,2x2mm RGB LEDs(Built-in IC) ROHS"                                       
D19        WS2812B-2020 TopLayer    LED_WS2812-2020      165.000       -606.091      90       "SMD,2x2mm RGB LEDs(Built-in IC) ROHS"                                       
C57        4.7uF        TopLayer    0603_C               2750.000      -490.000      0        "Chip capacitors"                                                            
C56        4.7uF        TopLayer    0603_C               2750.000      -720.000      0        "Chip capacitors"                                                            
C55        4.7uF        TopLayer    0603_C               2750.000      -950.000      0        "Chip capacitors"                                                            
C54        4.7uF        TopLayer    0603_C               2750.000      -1195.000     0        "Chip capacitors"                                                            
C53        4.7uF        TopLayer    0603_C               2750.000      -1430.000     0        "Chip capacitors"                                                            
C52        4.7uF        TopLayer    0603_C               2750.000      -1665.000     0        "Chip capacitors"                                                            
C51        4.7uF        TopLayer    0603_C               2750.000      -1900.000     0        "Chip capacitors"                                                            
C50        4.7uF        TopLayer    0603_C               2750.000      -2135.000     0        "Chip capacitors"                                                            
C10        4.7uF        TopLayer    0603_C               159.685       -2850.000     0        "Chip capacitors"                                                            
VR4        "SLIDE POT"  TopLayer    PTA6043-2015DPA103   3182.677      -1658.465     90       "10 kOhms 0.125W, 1/8W Through Hole Slide Potentiometer Top Adjustment Type" 
VR3        "SLIDE POT"  TopLayer    PTA6043-2015DPA103   2319.343      -1658.465     90       "10 kOhms 0.125W, 1/8W Through Hole Slide Potentiometer Top Adjustment Type" 
VR2        "SLIDE POT"  TopLayer    PTA6043-2015DPA103   1456.010      -1658.465     90       "10 kOhms 0.125W, 1/8W Through Hole Slide Potentiometer Top Adjustment Type" 
VR1        "SLIDE POT"  TopLayer    PTA6043-2015DPA103   592.677       -1658.465     90       "10 kOhms 0.125W, 1/8W Through Hole Slide Potentiometer Top Adjustment Type" 
